Date,Stock Price,Equity REIT Price,diff_stockprice,diff_Equity REIT Price,,,,,S&P 100
"July 1, 1993",448.13,232.6979283,15.43,2.768124903,,,106.71 ,105.81 ,207.205002
"August 1, 1993",463.56,237.28117,-4.63,4.583241666,,,107.16 ,106.16 ,214.160004
"September 1, 1993",458.93,247.975456,8.90,10.69428606,,,107.38 ,106.57 ,210.850006
"October 1, 1993",467.83,241.9536201,-6.04,-6.021835974,,,107.50 ,106.84 ,214.095001
"November 1, 1993",461.79,227.8067129,4.66,-14.14690719,,,107.71 ,107.13 ,212.869995
"December 1, 1993",466.45,226.5145978,15.16,-1.292115119,,,107.89 ,107.62 ,214.729996
"January 1, 1994",481.61,231.6770473,-14.47,5.162449574,,,107.86 ,107.91 ,222.845001
"February 1, 1994",467.14,240.7182673,-21.37,9.04121994,,,108.00 ,108.14 ,216.880005
"March 1, 1994",445.77,231.0250217,5.14,-9.693245593,,,108.72 ,108.53 ,206.164993
"April 1, 1994",450.91,233.3820545,5.59,2.357032784,,,109.30 ,108.84 ,207.550003
"May 1, 1994",456.50,236.9281547,-12.23,3.546100288,,,109.85 ,109.21 ,211.940002
"June 1, 1994",444.27,231.3698439,13.99,-5.558310817,,,110.46 ,109.43 ,205.139999
"July 1, 1994",458.26,228.6144838,17.23,-2.755360103,,,110.57 ,109.56 ,212.554993
"August 1, 1994",475.49,227.8683849,-12.78,-0.746098914,,,110.94 ,109.85 ,218.729996
"September 1, 1994",462.71,222.8814853,9.64,-4.986899604,,,110.78 ,109.94 ,214.059998
"October 1, 1994",472.35,213.4948628,-18.66,-9.38662255,,,110.86 ,110.20 ,218.889999
"November 1, 1994",453.69,204.4624929,5.58,-9.032369858,,,110.99 ,110.44 ,210.735001
"December 1, 1994",459.27,218.5502654,11.15,14.08777245,,,110.66 ,110.43 ,214.315002
"January 1, 1995",470.42,211.7065321,16.97,-6.843733276,,,110.76 ,110.85 ,218.255005
"February 1, 1995",487.39,215.570388,13.32,3.863855917,,,111.13 ,111.30 ,227.804993
"March 1, 1995",500.71,213.9146134,14.00,-1.655774593,,,111.43 ,111.23 ,234.835007
"April 1, 1995",514.71,211.972236,18.69,-1.942377397,,,111.91 ,111.42 ,243.835007
"May 1, 1995",533.40,219.3668957,11.35,7.394659699,,,112.28 ,111.53 ,253.675003
"June 1, 1995",544.75,222.0598285,17.31,2.692932763,,,113.08 ,111.97 ,259
"July 1, 1995",562.06,223.8439415,-0.18,1.784113045,,,113.59 ,112.48 ,267.420013
"August 1, 1995",561.88,224.9274377,22.53,1.083496229,,,113.93 ,112.76 ,265.26001
"September 1, 1995",584.41,228.0305201,-2.91,3.103082399,,,113.85 ,112.98 ,278.045013
"October 1, 1995",581.50,221.23994,23.87,-6.790580147,,,113.77 ,113.11 ,277.940002
"November 1, 1995",605.37,221.6765946,10.56,0.436654566,,,113.80 ,113.31 ,288.665009
"December 1, 1995",615.93,232.8823919,20.09,11.2057973,,,113.92 ,113.74 ,292.959991
"January 1, 1996",636.02,235.8965654,4.41,3.01417351,,,114.05 ,114.18 ,304.980011
"February 1, 1996",640.43,237.362863,5.07,1.466297666,,,114.22 ,114.41 ,308.535004
"March 1, 1996",645.50,235.3798625,8.67,-1.983000567,,,114.99 ,114.77 ,311.100006
"April 1, 1996",654.17,234.4275414,14.95,-0.952321032,,,115.59 ,115.06 ,315.234985
"May 1, 1996",669.12,238.8023028,1.51,4.374761359,,,116.21 ,115.36 ,323.01001
"June 1, 1996",670.63,241.1933774,-30.68,2.391074654,,,116.70 ,115.49 ,323.765015
